WardName,Wardcode,Pop2013,Aged0_15,Aged16_64,Aged65plus,PctBame,PctNotBornUK,MeanHousePrice2013,PctOpenSpace,CarsPerHH2011,AvgPubTransAccessibility11,CrimeRate1213,PopDensityKm2013,PctWithNoQual11,PctLev4Qual11,TurnoutMayoralElection12,Candidate,x,y,InnerOuter
Redbridge - Hainault,E05000506,13500,3100,8450,1950,29.8,22.2,226000,59.8389,0.97993944,2.5,73.5,2410.7,28.9,20.4,23.47387481,Boris,547268.1371,192315.9508,Outer
Redbridge - Loxford,E05000507,17450,5050,11150,1250,83.5,53.2,222750,18.3254,0.697118212,3.3,92.0,13423.1,20.1,31.1,29.59717919,Ken,543944.7571,185494.0286,Outer
Redbridge - Mayfield,E05000508,14050,3400,9050,1650,73.3,41.1,260500,16.775,1.183227625,2.8,64.9,7394.7,20.5,29.9,31.97326767,Ken,545485.2613,186008.7372,Outer
Redbridge - Monkhams,E05000509,10700,1800,6600,2300,21.1,18.8,457500,29.8761,1.3916296469999998,2.6,52.7,3451.6,15.0,41.6,40.99927589,Boris,540417.9798,192642.2733,Outer
Redbridge - Newbury,E05000510,17450,4350,11450,1600,77.2,47.5,270000,21.3594,1.059687262,3.2,56.2,8309.5,17.4,33.4,33.45714006,Ken,544944.0947,187902.2571,Outer
Redbridge - Roding,E05000511,12500,2900,8250,1350,37.2,28.2,302000,35.6983,1.078885818,2.4,65.5,5434.8,15.9,37.0,34.03079353,Boris,541243.5212,190319.3203,Outer
Redbridge - Seven Kings,E05000512,16400,4000,10900,1450,76.7,47.6,259000,29.9861,1.007332914,3.1,89.9,7809.5,18.4,31.7,30.319091399999998,Ken,546183.3317,187940.5178,Outer
Redbridge - Snaresbrook,E05000513,12200,2000,8100,2100,30.2,27.2,305000,10.5576,0.967617295,3.7,69.0,6100.0,14.9,50.1,40.33264033,Boris,540137.9571,189084.1705,Outer
Redbridge - Valentines,E05000514,14850,3700,9850,1300,77.6,50.3,200000,13.8404,0.818352843,4.2,115.0,9900.0,16.6,36.9,28.90266299,Ken,543491.2077,186926.3217,Outer
Redbridge - Wanstead,E05000515,11850,2350,7650,1850,30.0,22.8,472500,64.2323,1.146145494,2.5,81.9,2278.8,15.2,45.3,43.45892203,Boris,540987.4837,187328.7882,Outer
Richmond upon Thames - Barnes,E05000516,10500,2150,6750,1600,14.3,32.2,1130000,54.4121,1.023743017,3.3,64.9,3500.0,9.1,57.5,45.42517007,Boris,522499.8785,177098.9918,Outer
Richmond upon Thames - East Sheen,E05000517,10500,2450,6500,1550,9.3,23.6,810250,76.6542,1.130570947,2.6,49.8,1810.3,6.6,61.6,51.68144554,Boris,520716.4104,173895.6079,Outer
Richmond upon Thames - Fulwell and Hampton Hill,E05000518,10300,2200,6700,1400,9.9,16.7,471000,32.6724,1.128645343,3.0,46.5,5421.1,10.8,52.8,40.99623136,Boris,514682.8483,171228.1441,Outer
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",E05000519,10550,2000,6700,1850,15.9,30.5,475000,81.8875,1.0123595509999999,2.1,63.7,1122.3,14.1,46.0,40.33469945,Boris,518551.7337,172347.698,Outer
Richmond upon Thames - Hampton,E05000520,10200,2000,6450,1750,11.3,16.7,428000,74.6961,1.2465261140000001,2.6,48.8,1478.3,12.5,47.2,41.20586813,Boris,514831.3188,169122.2241,Outer
Richmond upon Thames - Hampton North,E05000521,9600,1850,6150,1600,16.3,20.1,311500,28.1962,1.168379834,2.1,60.5,5052.6,17.6,36.3,35.34602076,Boris,513075.846,171126.12600000002,Outer
Richmond upon Thames - Hampton Wick,E05000522,10500,2150,6850,1450,11.4,20.3,415000,49.9578,1.052974186,2.6,53.3,3888.9,10.0,53.6,41.42696449,Boris,517236.9799,169974.9169,Outer
Richmond upon Thames - Heathfield,E05000523,10550,2100,6800,1650,30.4,26.6,336000,27.0217,1.226391016,2.0,59.1,5552.6,20.4,29.8,33.12236287,Boris,513240.8564,173403.5762,Outer
Richmond upon Thames - Kew,E05000524,11650,2400,7550,1700,15.3,30.2,620000,56.6481,1.009468171,3.2,61.1,3236.1,7.5,62.0,47.77327935,Boris,518948.8928,176696.4927,Outer
Richmond upon Thames - Mortlake and Barnes Common,E05000525,11050,2400,7250,1400,11.7,25.6,591500,41.747,0.8998178509999999,3.2,73.2,5815.8,9.8,57.6,44.16115833,Boris,521654.5933,175894.7658,Outer
Richmond upon Thames - North Richmond,E05000526,10950,2100,7300,1500,15.7,28.3,500000,54.0781,0.923915322,4.4,66.9,3910.7,10.2,59.0,48.03732304,Boris,518282.8325,175608.9045,Outer
Richmond upon Thames - St. Margarets & North Twickenham,E05000527,11550,2600,7900,1100,12.3,23.3,556250,23.5137,1.103065884,3.1,56.5,5775.0,6.6,62.6,45.23483812,Boris,516125.9886,174242.0598,Outer
Richmond upon Thames - South Richmond,E05000528,11050,1900,7550,1600,13.1,33.0,560000,47.3209,0.8839009290000001,4.1,125.7,4092.6,7.1,63.6,43.75207159,Boris,518737.8515,174551.5107,Outer
Richmond upon Thames - South Twickenham,E05000529,10150,1900,7100,1150,9.7,18.8,473500,26.7179,1.132937979,3.5,40.4,5970.6,6.4,55.3,40.44334212,Boris,515557.6152,172582.3629,Outer
Richmond upon Thames - Teddington,E05000530,10550,2050,7000,1550,8.9,17.8,528870,64.0465,1.08492201,3.1,54.0,2453.5,7.7,58.5,44.578125,Boris,515864.1543,170294.7578,Outer
Richmond upon Thames - Twickenham Riverside,E05000531,10650,1900,7350,1400,10.3,26.8,420000,37.795,0.9227282090000001,4.3,76.4,5325.0,6.2,63.8,41.73406665,Boris,516980.4466,173793.1479,Outer
Richmond upon Thames - West Twickenham,E05000532,10700,2400,7000,1350,16.0,21.1,402000,45.6279,1.138551402,2.7,59.8,4280.0,13.4,45.1,37.37182521,Boris,514179.6025,172437.0753,Outer
Richmond upon Thames - Whitton,E05000533,10000,1900,6350,1750,21.5,23.3,350000,21.2905,1.206082853,2.3,47.7,6250.0,17.0,36.9,39.4326003,Boris,514246.8316,174000.6221,Outer
Southwark - Brunswick Park,E05000534,13350,2600,9800,950,53.3,40.6,345000,7.028510000000001,0.466273988,4.0,100.7,14833.3,15.2,41.5,36.9729195,Ken,533087.3245,176707.2314,Inner
Southwark - Camberwell Green,E05000535,15450,3250,11050,1150,61.1,46.8,220000,1.6078299999999999,0.357257805,5.7,112.7,15450.0,19.3,34.3,33.90779363,Ken,532351.0224,177069.0425,Inner
Southwark - Cathedrals,E05000536,16250,1650,13450,1150,38.4,40.0,517500,15.293,0.37060342,7.7,245.4,9027.8,12.7,45.8,29.99903073,Ken,531903.6753,179794.8457,Inner
Southwark - Chaucer,E05000537,15800,2300,12650,850,49.9,45.2,375000,5.57261,0.36214915799999997,6.9,124.0,19750.0,11.3,48.8,34.20805998,Ken,532624.8402,179396.0708,Inner
Southwark - College,E05000538,11800,2450,7950,1400,36.6,30.7,282500,43.7079,0.794851485,3.3,79.7,3687.5,13.6,48.7,40.59226149,Ken,533756.0928,172528.9249,Inner
Southwark - East Dulwich,E05000539,12250,2300,8850,1100,28.2,25.9,435000,0.731691,0.712856334,4.1,69.6,12250.0,12.3,56.5,40.65553494,Ken,533981.2545,174630.6555,Inner
Southwark - East Walworth,E05000540,12700,2250,9400,1050,51.8,43.8,258000,24.1481,0.363060017,5.3,171.8,11545.5,20.8,32.4,34.513908799999996,Ken,533071.188,178405.3371,Inner
Southwark - Faraday,E05000541,12900,2950,9000,950,60.7,45.9,295000,30.0042,0.377441212,4.5,107.1,14333.3,21.8,28.6,31.17973723,Ken,532832.8663,177926.5622,Inner
Southwark - Grange,E05000542,16500,2300,13200,1000,39.1,38.3,385000,4.45864,0.369296375,5.1,120.4,13750.0,15.7,46.3,29.63997517,Ken,533461.6045,179297.7733,Inner
Southwark - Livesey,E05000543,14500,3300,9900,1300,62.2,44.3,249950,4.529380000000001,0.42260619200000005,4.2,104.8,10357.1,23.8,27.9,33.84390956,Ken,534758.8925,177721.4211,Inner
Southwark - Newington,E05000544,14850,2550,11050,1250,48.2,42.5,325000,3.81806,0.35542560100000004,5.8,95.1,18562.5,19.4,37.5,36.41209748,Ken,531923.0981,178088.2146,Inner
Southwark - Nunhead,E05000545,13700,2750,9750,1200,55.5,39.0,340000,20.0906,0.519915404,4.5,84.5,10538.5,21.1,34.8,34.50789793,Ken,535242.1506,176136.9352,Inner
Southwark - Peckham,E05000546,15000,3550,10450,1050,70.8,47.6,226000,6.961119999999999,0.45263734299999997,4.1,111.0,16666.7,19.6,30.6,33.85862224,Ken,533906.2076,177179.9826,Inner
Southwark - Peckham Rye,E05000547,13450,2850,9500,1100,35.8,28.8,325000,45.6901,0.69745837,3.4,62.2,5847.8,13.8,49.7,39.88796826,Ken,535053.1259,174768.3038,Inner
