,UUID,OBJEKTART,NAME,SPRACHCODE,E,N,"Z,,"
209676,{0520C062-B859-475D-AE4F-15100DD1E3A2},Flurname swisstopo,Boden,Hochdeutsch inkl. Lokalsprachen,2646545,1236406,"503,,"
191950,{3DECC472-2055-42F3-94B1-3FF429FECF33},Flurname swisstopo,Haltli,Hochdeutsch inkl. Lokalsprachen,2603338,1158340,"1199,,"
145839,{7D221D04-1AF8-4EBF-A3AE-8728FA3B8737},Flurname swisstopo,Allmannsbrunnen,Hochdeutsch inkl. Lokalsprachen,2756617,1258565,"829,,"
123281,{58614321-32A0-4235-BD9D-ADBEDB8F0A41},Flurname swisstopo,Wisliwurf,Hochdeutsch inkl. Lokalsprachen,2712781,1223383,"1173,,"
101647,{5BA77C91-3568-4E3B-80B8-8A47D2E6121B},Flurname swisstopo,Geisshofstatt,Hochdeutsch inkl. Lokalsprachen,2694208,1192249,"651,,"
118461,{CB1C8553-9A55-483C-B03C-AA1C4C7F20F3},Flurname swisstopo,Schälewis,Hochdeutsch inkl. Lokalsprachen,2706729,1265711,"500,,"
137173,{7AB75AB0-B09D-4AC3-A204-7A6651AC149F},Flurname swisstopo,Chriesihoger,Hochdeutsch inkl. Lokalsprachen,2675573,1251943,"419,,"
37717,{8EAB026B-B2EE-4DB4-A0CE-E8ECDA3CD8E1},Lokalname swisstopo,Preda,Italienisch inkl. Lokalsprachen,2689139,1126984,"1505,,"
175386,{7B9ADE20-0602-42D9-A6CC-2878FA220758},Flurname swisstopo,Les Bregots,Franzoesisch inkl. Lokalsprachen,2559815,1188570,"463,,"
181292,{C03E1EC0-B93F-4E5D-B736-8C3BC0E24081},Flurname swisstopo,Im Bode,Hochdeutsch inkl. Lokalsprachen,2587381,1197258,"612,,"
319572,{C1EA69CB-179D-4F1B-95E5-91AF8E52E3A9},Haltestelle Bus,"Lonay, Carouge",Franzoesisch inkl. Lokalsprachen,2529989,1153243,"395,"
54397,{7001CC00-0320-4B0C-B309-A9477DCFEE76},Flurname swisstopo,Muggenmatt,Hochdeutsch inkl. Lokalsprachen,2608968,1249347,"474,,"
317761,{504B0762-C382-4A7F-AD70-506DD2484721},Haltestelle Bus,"Arosa, Wetterweide",Hochdeutsch inkl. Lokalsprachen,2771585,1183466,"1711,"
208799,{46F050E1-026F-4BCB-A0C4-771DB963DF60},Lokalname swisstopo,La Poyette,Franzoesisch inkl. Lokalsprachen,2524684,1179417,"1329,,"
16600,{4C167E29-B223-4F85-8126-5A0CB6A2549F},Huegel,Wolkestaanerbärg,Hochdeutsch inkl. Lokalsprachen,2705328,1281640,"608,,"
37177,{E45EFEB6-A222-4351-B092-0748FD52411E},Lokalname swisstopo,Dracourt,Franzoesisch inkl. Lokalsprachen,2561590,1250033,"576,,"
156330,{33AFD786-39A1-48E4-AA35-979045CDEAC1},Flurname swisstopo,Bolleren,Hochdeutsch inkl. Lokalsprachen,2674822,1262257,"561,,"
77706,{791FA859-3D28-4D50-BDEC-3464637EED8D},Flurname swisstopo,Moosacher,Hochdeutsch inkl. Lokalsprachen,2658510,1234683,"489,,"
299765,{D853688C-187C-4468-A19D-4083BFB93734},Uebrige Bahnen,Pesciüm,Italienisch inkl. Lokalsprachen,2689739,1152120,"1741,,"
54841,{05E801CD-BA26-4AA7-B4F7-D03F8F641E3D},Flurname swisstopo,Sackmooswald,Hochdeutsch inkl. Lokalsprachen,2610470,1224664,"449,,"
52,{DE1F9740-ADC0-4603-991F-56F9F0131CAF},Gebaeude,Grotto Matafontana,Italienisch inkl. Lokalsprachen,2727371,1122016,"279,,"
127970,{0D19B639-EBEC-4795-9ADD-1AD3147E9C4D},Flurname swisstopo,Stosswand,Hochdeutsch inkl. Lokalsprachen,2738404,1206190,"2091,,"
17380,{C5B476FA-54F1-4097-AC07-C757F2F8E4D7},Hauptgipfel,Henglihorn,Hochdeutsch inkl. Lokalsprachen,2669594,1183007,"2626,,"
324305,{9EA2B0DD-F4AC-4F88-9A99-951A9F8CD406},Zollamt 24h 24h,Le Châtelard,Franzoesisch inkl. Lokalsprachen,2562073,1100134,"1121,,"
279200,{2C821737-A838-4F7F-9834-55C978902952},Flurname swisstopo,Wanneraholz,Hochdeutsch inkl. Lokalsprachen,2579361,1192827,"582,,"
79832,{B6C570DF-E149-4CC8-8E1B-E8659A970099},Flurname swisstopo,Risi,Hochdeutsch inkl. Lokalsprachen,2663831,1251593,"366,,"
41299,{AB16BB0E-87E2-40A1-A5A1-075A1D58F9F7},Lokalname swisstopo,Schafboden,Hochdeutsch inkl. Lokalsprachen,2709051,1201277,"1825,,"
265926,{85F46A05-D768-414B-95E0-863436454E90},Flurname swisstopo,Sulzmattli,Hochdeutsch inkl. Lokalsprachen,2672983,1196119,"511,,"
67301,{5A14CFC8-FC2F-467F-9689-3A91BF31A5F7},Flurname swisstopo,Räbacher,Hochdeutsch inkl. Lokalsprachen,2663402,1230035,"588,,"
233959,{445EE386-C083-4ED8-A109-991F64493C6F},Flurname swisstopo,Fièss,Italienisch inkl. Lokalsprachen,2715291,1149278,"694,,"
41857,{63F584FE-515E-4809-BE3B-110981CED092},Lokalname swisstopo,Le Liapey de Miex,Franzoesisch inkl. Lokalsprachen,2585926,1128606,"2450,,"
278714,{8C3D7491-C39A-4812-B919-2750CA22FA55},Flurname swisstopo,Mont de Glâne,Franzoesisch inkl. Lokalsprachen,2568797,1175993,"648,,"
145545,{342AB67E-067C-46F9-AEDF-BB0360F1BC0F},Flurname swisstopo,Chleinenriet,Hochdeutsch inkl. Lokalsprachen,2690629,1273754,"400,,"
113759,{FB52AA23-24B8-4EB1-B23C-20A535EC39E4},Flurname swisstopo,Im mittlere Rande,Hochdeutsch inkl. Lokalsprachen,2705414,1281132,"454,,"
98720,{C62613F9-B652-40FE-9DD0-543CDC5C684B},Lokalname swisstopo,Orgnana,Italienisch inkl. Lokalsprachen,2705364,1123045,"1573,,"
210986,{C4DA65FF-6017-4AF1-B29D-38394EACA9C8},Flurname swisstopo,Milimatta,Hochdeutsch inkl. Lokalsprachen,2624792,1138171,"1374,,"
60710,{2738AC79-CAE5-4752-A61A-EF419E995150},Flurname swisstopo,La Ruatte,Franzoesisch inkl. Lokalsprachen,2568033,1260742,"369,,"
227752,{ABBD1C0A-6FF0-4007-8424-9B96FE583ED0},Flurname swisstopo,El Bósche,Italienisch inkl. Lokalsprachen,2721879,1104891,"930,,"
699,{D1643AE8-1B89-464C-BD96-9FA32ACC2A85},Gebaeude,Auberge du Bouillet,Franzoesisch inkl. Lokalsprachen,2568172,1125152,"583,,"
191080,{F5C159A7-F662-46B4-B05B-770369FBC971},Flurname swisstopo,Badbäänli,Hochdeutsch inkl. Lokalsprachen,2596527,1179458,"1025,,"
29240,{98A0714D-0EB4-4527-882D-8E56AA63E819},Lokalname swisstopo,Ronenbödeli,Hochdeutsch inkl. Lokalsprachen,2701567,1198690,"1362,,"
108107,{E9172B4D-927D-4CDD-9896-9A8522685B5E},Flurname swisstopo,Underau,Hochdeutsch inkl. Lokalsprachen,2724296,1270035,"423,,"
137315,{DBE65CAB-CB09-47EB-9A72-304D2B4ABC66},Flurname swisstopo,Gülleracher,Hochdeutsch inkl. Lokalsprachen,2674235,1252480,"423,,"
222849,{FC33E215-5796-4280-A8E1-CF1E6AFA0B0B},Flurname swisstopo,Fin de Bioley,Franzoesisch inkl. Lokalsprachen,2559111,1207912,"729,,"
123401,{C37E8D25-FF74-46C5-9DDF-0E15F71E3D95},Flurname swisstopo,Schwanten,Hochdeutsch inkl. Lokalsprachen,2714586,1220899,"1148,,"
209902,{B3941331-D14C-4656-874E-F8E75E54D1BD},Flurname swisstopo,Mosermatt,Hochdeutsch inkl. Lokalsprachen,2623370,1247357,"571,,"
155462,{7B9DE180-65BE-4DA5-9AD4-B06A5CAA9700},Flurname swisstopo,Burgstallhölzli,Hochdeutsch inkl. Lokalsprachen,2696145,1256638,"531,,"
112804,{E475EA80-5A67-47CD-A9EC-F2F63EA87219},Flurname swisstopo,Iischlag,Hochdeutsch inkl. Lokalsprachen,0,0,"450,,"
